Seq,DateListed,年度,類別,項目別,勞動力人口_總計_人,勞動力人口_就業_人,勞動力人口_失業_人,男_小計_人,男_就業_人,男_失業_人,女_小計_人,女_就業_人,女_失業_人,樣本數_人,勞動力人口_總計_百分比,勞動力人口_就業_百分比,勞動力人口_失業_百分比,男_小計_百分比,男_就業_百分比,男_失業_百分比,女_小計_百分比,女_就業_百分比,女_失業_百分比
318,"20241122","110","縣市","花蓮縣","42815.33","41346","1469.33","23330","22455.33","874.67","19485.33","18890.67","594.67","3379.39","100","96.57","3.43","100","96.25","3.75","100","96.95","3.05"
319,"20241122","110","縣市","澎湖縣","237.33","233.33","4","116.33","116.33","0","121","117","4","18.74","100","98.31","1.69","100","100","0","100","96.69","3.31"
320,"20241122","110","縣市","基隆市","4551.67","4358.33","193.33","2274.33","2173.67","100.67","2277.33","2184.67","92.67","359.33","100","95.75","4.25","100","95.57","4.43","100","95.93","4.07"
321,"20241122","110","縣市","新竹市","2224","2095.67","128.33","929","885","44","1295","1210.67","84.33","175.46","100","94.23","5.77","100","95.26","4.74","100","93.49","6.51"
322,"20241122","110","縣市","嘉義市","513.67","476","37.67","205","197.33","7.67","308.67","278.67","30","40.51","100","92.67","7.33","100","96.26","3.74","100","90.28","9.72"
323,"20241122","111","總計","-","282596.75","271788.75","10808","146774.75","141142.75","5632","135822","130646","5176","30577.83","100","96.18","3.82","100","96.16","3.84","100","96.19","3.81"
324,"20241122","111","行政區域","台灣省","165471.25","159488.5","5982.75","88781.5","85479","3302.5","76689.75","74009.5","2680.25","17903.95","100","96.38","3.62","100","96.28","3.72","100","96.51","3.49"
325,"20241122","111","行政區域","山地原住民族地區","68835.5","66476.25","2359.25","38567.25","36995.5","1571.75","30268.25","29480.75","787.5","7448.05","100","96.57","3.43","100","95.92","4.08","100","97.4","2.6"
326,"20241122","111","行政區域","平地原住民族地區","64775","62341.75","2433.25","35747","34484","1263","29028","27857.75","1170.25","7010.67","100","96.24","3.76","100","96.47","3.53","100","95.97","4.03"
327,"20241122","111","行政區域","非原住民族地區","31860.75","30670.5","1190.25","14467.25","13999.5","467.75","17393.5","16671","722.5","3445.24","100","96.26","3.74","100","96.77","3.23","100","95.85","4.15"
328,"20241122","111","行政區域","新北市","30396.25","29095","1301.25","15120.75","14489.5","631.25","15275.5","14605.5","670","3288.92","100","95.72","4.28","100","95.83","4.17","100","95.61","4.39"
329,"20241122","111","行政區域","臺北市","8490.25","8144.75","345.5","3662.5","3497.75","164.75","4827.75","4647","180.75","919.01","100","95.93","4.07","100","95.5","4.5","100","96.26","3.74"
330,"20241122","111","行政區域","桃園市","38927","37432.75","1494.25","20412.5","19761.25","651.25","18514.5","17671.5","843","4211.86","100","96.16","3.84","100","96.81","3.19","100","95.45","4.55"
331,"20241122","111","行政區域","臺中市","17991","17205","786","8454.75","8029.25","425.5","9536.25","9175.75","360.5","1946.94","100","95.63","4.37","100","94.97","5.03","100","96.22","3.78"
332,"20241122","111","行政區域","臺南市","4141.5","3986","155.5","1758","1690.75","67.25","2383.5","2295.25","88.25","448.15","100","96.25","3.75","100","96.17","3.83","100","96.3","3.7"
333,"20241122","111","行政區域","高雄市","17179.5","16436.75","742.75","8584.75","8195.25","389.5","8594.75","8241.5","353.25","1859","100","95.68","4.32","100","95.46","4.54","100","95.89","4.11"
334,"20241122","111","統計區域","北部地區","103959.5","100001.5","3958","53185","51282.75","1902.25","50774.5","48718.75","2055.75","11247.79","100","96.19","3.81","100","96.42","3.58","100","95.95","4.05"
335,"20241122","111","統計區域","北部地區_山地原住民族地區","16157.25","15591.75","565.5","9944.5","9582.25","362.25","6212.75","6009.5","203.25","1748.29","100","96.5","3.5","100","96.36","3.64","100","96.73","3.27"
336,"20241122","111","統計區域","北部地區_平地原住民族地區","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
337,"20241122","111","統計區域","北部地區_非原住民族地區","87500.5","84115.5","3385","43039.25","41505.25","1534","44461.25","42610.25","1851","9466.88","100","96.13","3.87","100","96.44","3.56","100","95.84","4.16"
338,"20241122","111","統計區域","中部地區","42750.75","41038","1712.75","21394.75","20502","892.75","21356","20536","820","4625.84","100","95.99","4.01","100","95.83","4.17","100","96.16","3.84"
339,"20241122","111","統計區域","中部地區_山地原住民族地區","15667.75","15138","529.75","8732.75","8374","358.75","6935","6764","171","1695.44","100","96.62","3.38","100","95.89","4.11","100","97.53","2.47"
340,"20241122","111","統計區域","中部地區_平地原住民族地區","1706.25","1581.5","124.75","1068.25","993.5","74.75","638","588","50","184.74","100","92.69","7.31","100","93","7","100","92.16","7.84"
341,"20241122","111","統計區域","中部地區_非原住民族地區","25376.75","24318.5","1058.25","11593.75","11134.5","459.25","13783","13184","599","2745.66","100","95.83","4.17","100","96.04","3.96","100","95.65","4.35"
342,"20241122","111","統計區域","南部地區","54327","52340","1987","26971.25","25874.75","1096.5","27355.75","26465.25","890.5","5878.19","100","96.34","3.66","100","95.93","4.07","100","96.74","3.26"
343,"20241122","111","統計區域","南部地區_山地原住民族地區","28390.25","27435.25","955","14957.5","14347.25","610.25","13432.75","13088","344.75","3072.35","100","96.64","3.36","100","95.92","4.08","100","97.43","2.57"
344,"20241122","111","統計區域","南部地區_平地原住民族地區","1298.25","1256.25","42","764","750.25","13.75","534.25","506","28.25","140.67","100","96.76","3.24","100","98.2","1.8","100","94.71","5.29"
345,"20241122","111","統計區域","南部地區_非原住民族地區","24638.5","23648.5","990","11249.75","10777.25","472.5","13388.75","12871.25","517.5","2665.17","100","95.98","4.02","100","95.8","4.2","100","96.13","3.87"
346,"20241122","111","統計區域","東部地區","81559.5","78409.25","3150.25","45223.75","43483.25","1740.5","36335.75","34926","1409.75","8826","100","96.14","3.86","100","96.15","3.85","100","96.12","3.88"
347,"20241122","111","統計區域","東部地區_山地原住民族地區","19942.5","19089.5","853","11443.75","10910","533.75","8498.75","8179.5","319.25","2157.27","100","95.72","4.28","100","95.34","4.66","100","96.24","3.76"
348,"20241122","111","統計區域","東部地區_平地原住民族地區","61468.75","59209.75","2259","33713.5","32545","1168.5","27755.25","26664.75","1090.5","6652.64","100","96.32","3.68","100","96.53","3.47","100","96.07","3.93"
349,"20241122","111","統計區域","東部地區_非原住民族地區","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
350,"20241122","111","縣市","新北市","30396.25","29095","1301.25","15120.75","14489.5","631.25","15275.5","14605.5","670","3288.92","100","95.72","4.28","100","95.83","4.17","100","95.61","4.39"
351,"20241122","111","縣市","臺北市","8490.25","8144.75","345.5","3662.5","3497.75","164.75","4827.75","4647","180.75","919.01","100","95.93","4.07","100","95.5","4.5","100","96.26","3.74"
