Seq,DateListed,年度,類別,項目別,勞動力人口_總計_人,勞動力人口_就業_人,勞動力人口_失業_人,男_小計_人,男_就業_人,男_失業_人,女_小計_人,女_就業_人,女_失業_人,樣本數_人,勞動力人口_總計_百分比,勞動力人口_就業_百分比,勞動力人口_失業_百分比,男_小計_百分比,男_就業_百分比,男_失業_百分比,女_小計_百分比,女_就業_百分比,女_失業_百分比
31,"20241122","103","縣市","臺中市","15019.01","14158.4","860.62","7274.36","6827.74","446.62","7744.66","7330.66","414","1926.46","100","94.27","5.73","100","93.86","6.14","100","94.65","5.35"
32,"20241122","103","縣市","臺南市","3332.89","3064","268.89","1280.21","1183.32","96.89","2052.68","1880.67","172","427.43","100","91.93","8.07","100","92.43","7.57","100","91.62","8.38"
33,"20241122","103","縣市","高雄市","14736.16","13956.94","779.22","7566.42","7173.07","393.35","7169.74","6783.87","385.87","1890.19","100","94.71","5.29","100","94.8","5.2","100","94.62","5.38"
34,"20241122","103","縣市","宜蘭縣","5932.09","5715.26","216.84","4125.21","4006.85","118.36","1806.88","1708.4","98.48","760.83","100","96.34","3.66","100","97.13","2.87","100","94.55","5.45"
35,"20241122","103","縣市","新竹縣","8936.59","8728.45","208.14","5411.07","5297.15","113.92","3525.52","3431.3","94.22","1146.38","100","97.67","2.33","100","97.89","2.11","100","97.33","2.67"
36,"20241122","103","縣市","苗栗縣","4431.18","4236.55","194.62","2277.08","2186.23","90.85","2154.1","2050.32","103.78","568.35","100","95.61","4.39","100","96.01","3.99","100","95.18","4.82"
37,"20241122","103","縣市","彰化縣","3178.54","3031.78","146.76","1538.04","1468.49","69.55","1640.51","1563.29","77.22","407.72","100","95.38","4.62","100","95.48","4.52","100","95.29","4.71"
38,"20241122","103","縣市","南投縣","13135.18","12517.84","617.33","7742.22","7326.32","415.9","5392.95","5191.52","201.43","1684.71","100","95.3","4.7","100","94.63","5.37","100","96.26","3.74"
39,"20241122","103","縣市","雲林縣","1176.63","1132.83","43.8","351.73","341.04","10.68","824.9","791.79","33.11","151","100","96.28","3.72","100","96.96","3.04","100","95.99","4.01"
40,"20241122","103","縣市","嘉義縣","2581.64","2544.78","36.85","1335.56","1308.79","26.78","1246.08","1236","10.08","331.06","100","98.57","1.43","100","98","2","100","99.19","0.81"
41,"20241122","103","縣市","屏東縣","25371.3","24521.76","849.54","14019.26","13552.46","466.8","11352.04","10969.3","382.74","3254.57","100","96.65","3.35","100","96.67","3.33","100","96.63","3.37"
42,"20241122","103","縣市","臺東縣","32903.05","31630.36","1272.69","19352.12","18523.91","828.2","13550.93","13106.44","444.49","4220.78","100","96.13","3.87","100","95.72","4.28","100","96.72","3.28"
43,"20241122","103","縣市","花蓮縣","44565.27","42649.85","1915.42","26480.19","25404.28","1075.91","18085.08","17245.57","839.51","5715.96","100","95.7","4.3","100","95.94","4.06","100","95.36","4.64"
44,"20241122","103","縣市","澎湖縣","664.65","632.85","31.81","345.41","338.28","7.13","319.25","294.57","24.67","85.31","100","95.21","4.79","100","97.94","2.06","100","92.27","7.73"
45,"20241122","103","縣市","基隆市","4902.18","4803.32","98.86","2831.32","2765.1","66.22","2070.86","2038.22","32.64","628.79","100","97.98","2.02","100","97.66","2.34","100","98.42","1.58"
46,"20241122","103","縣市","新竹市","2578.28","2449.36","128.93","1175.97","1098.35","77.63","1402.31","1351.01","51.3","330.75","100","95","5","100","93.4","6.6","100","96.34","3.66"
47,"20241122","103","縣市","嘉義市","1016.38","950.77","65.61","381.9","354.41","27.49","634.47","596.36","38.12","130.37","100","93.55","6.45","100","92.8","7.2","100","93.99","6.01"
48,"20241122","104","總計","-","247632.11","237395.25","10236.86","136245.55","130679.53","5566.02","111386.56","106715.72","4670.84","32279.57","100","95.87","4.13","100","95.91","4.09","100","95.81","4.19"
49,"20241122","104","行政區域","台灣省","150269.49","144311.47","5958.01","86364.6","82941.59","3423.01","63904.89","61369.88","2535","19588.18","100","96.04","3.96","100","96.04","3.96","100","96.03","3.97"
50,"20241122","104","行政區域","山地鄉","63000.45","60434.16","2566.29","38604.34","37042.35","1561.99","24396.11","23391.81","1004.3","8212.39","100","95.93","4.07","100","95.95","4.05","100","95.88","4.12"
51,"20241122","104","行政區域","平地原住民鄉鎮市","61304.04","58995.03","2309.01","35655.45","34198.5","1456.95","25648.59","24796.53","852.06","7991.46","100","96.23","3.77","100","95.91","4.09","100","96.68","3.32"
52,"20241122","104","行政區域","非原住民鄉鎮市","25965","24882.28","1082.72","12104.81","11700.74","404.07","13860.19","13181.54","678.65","3384.33","100","95.83","4.17","100","96.66","3.34","100","95.1","4.9"
53,"20241122","104","行政區域","新北市","26679.99","25598.33","1081.66","13561.05","13066.51","494.55","13118.94","12531.82","587.12","3477.3","100","95.95","4.05","100","96.35","3.65","100","95.52","4.48"
54,"20241122","104","行政區域","臺北市","7409.51","7154.67","254.85","3476.75","3377.26","99.49","3932.76","3777.41","155.36","965.81","100","96.56","3.44","100","97.14","2.86","100","96.05","3.95"
55,"20241122","104","行政區域","桃園市","30856.47","29669.15","1187.32","16665.63","16063.17","602.45","14190.84","13605.97","584.87","4022.15","100","96.15","3.85","100","96.39","3.61","100","95.88","4.12"
56,"20241122","104","行政區域","臺中市","15375.97","14654.39","721.58","7479.99","7162.21","317.77","7895.98","7492.17","403.81","2004.43","100","95.31","4.69","100","95.75","4.25","100","94.89","5.11"
57,"20241122","104","行政區域","臺南市","3386.62","3131.85","254.77","1393.98","1260.84","133.14","1992.64","1871.01","121.63","441.47","100","92.48","7.52","100","90.45","9.55","100","93.9","6.1"
58,"20241122","104","行政區域","高雄市","13654.06","12875.39","778.67","7303.55","6807.94","495.61","6350.51","6067.45","283.06","1780.23","100","94.3","5.7","100","93.21","6.79","100","95.54","4.46"
59,"20241122","104","統計區域","北部地區","86481.45","83109.96","3371.48","46253.21","44667.22","1585.98","40228.24","38442.74","1785.5","11272.52","100","96.1","3.9","100","96.57","3.43","100","95.56","4.44"
60,"20241122","104","統計區域","北部地區_山地鄉","13908.53","13218.29","690.24","9577.29","9175.03","402.26","4331.24","4043.26","287.98","1812.97","100","95.04","4.96","100","95.8","4.2","100","93.35","6.65"
61,"20241122","104","統計區域","北部地區_平地原住民鄉鎮市","237.41","229.17","8.24","139.64","134.17","5.47","97.77","94.99","2.78","30.95","100","96.53","3.47","100","96.08","3.92","100","97.16","2.84"
62,"20241122","104","統計區域","北部地區_非原住民鄉鎮市","72335.51","69662.51","2673","36536.28","35358.03","1178.25","35799.23","34304.48","1494.75","9428.6","100","96.3","3.7","100","96.78","3.22","100","95.82","4.18"
63,"20241122","104","統計區域","中部地區","36943.32","35453.72","1489.61","19282.06","18630.39","651.67","17661.26","16823.33","837.94","4815.44","100","95.97","4.03","100","96.62","3.38","100","95.26","4.74"
64,"20241122","104","統計區域","中部地區_山地鄉","14585.09","14095.2","489.88","8600.81","8394.03","206.78","5984.28","5701.18","283.1","1901.21","100","96.64","3.36","100","97.6","2.4","100","95.27","4.73"
65,"20241122","104","統計區域","中部地區_平地原住民鄉鎮市","1431.12","1398.72","32.41","903.44","882.99","20.45","527.69","515.73","11.96","186.52","100","97.74","2.26","100","97.74","2.26","100","97.73","2.27"
66,"20241122","104","統計區域","中部地區_非原住民鄉鎮市","20927.11","19959.8","967.32","9777.82","9353.38","424.44","11149.3","10606.42","542.88","2727.71","100","95.38","4.62","100","95.66","4.34","100","95.13","4.87"
67,"20241122","104","統計區域","南部地區","46220.71","44017.44","2203.28","24763.31","23544.3","1219.01","21457.41","20473.14","984.27","6025.69","100","95.23","4.77","100","95.08","4.92","100","95.41","4.59"
68,"20241122","104","統計區域","南部地區_山地鄉","25633.28","24647.57","985.71","14980.23","14407.66","572.57","10653.05","10239.91","413.14","3341.83","100","96.15","3.85","100","96.18","3.82","100","96.12","3.88"
69,"20241122","104","統計區域","南部地區_平地原住民鄉鎮市","1130.47","1100.66","29.81","698.16","687.72","10.45","432.31","412.95","19.36","147.34","100","97.36","2.64","100","98.5","1.5","100","95.52","4.48"
70,"20241122","104","統計區域","南部地區_非原住民鄉鎮市","19456.97","18269.21","1187.76","9084.91","8448.92","635.99","10372.05","9820.28","551.77","2536.51","100","93.9","6.1","100","93","7","100","94.68","5.32"
71,"20241122","104","統計區域","東部地區","77986.62","74814.13","3172.49","45946.97","43837.62","2109.35","32039.65","30976.51","1063.13","10165.92","100","95.93","4.07","100","95.41","4.59","100","96.68","3.32"
72,"20241122","104","統計區域","東部地區_山地鄉","19383.86","18452.48","931.38","12001.86","11315.65","686.21","7381.99","7136.83","245.17","2526.53","100","95.2","4.8","100","94.28","5.72","100","96.68","3.32"
73,"20241122","104","統計區域","東部地區_平地原住民鄉鎮市","58505.04","56266.49","2238.55","33914.21","32493.63","1420.58","24590.83","23772.86","817.97","7626.65","100","96.17","3.83","100","95.81","4.19","100","96.67","3.33"
74,"20241122","104","統計區域","東部地區_非原住民鄉鎮市","97.72","95.16","2.56","30.9","28.34","2.56","66.82","66.82","0","12.74","100","97.38","2.62","100","91.71","8.29","100","100","0"
75,"20241122","104","縣市","新北市","26679.99","25598.33","1081.66","13561.05","13066.51","494.55","13118.94","12531.82","587.12","3477.3","100","95.95","4.05","100","96.35","3.65","100","95.52","4.48"
76,"20241122","104","縣市","臺北市","7409.51","7154.67","254.85","3476.75","3377.26","99.49","3932.76","3777.41","155.36","965.81","100","96.56","3.44","100","97.14","2.86","100","96.05","3.95"
77,"20241122","104","縣市","桃園市","30856.47","29669.15","1187.32","16665.63","16063.17","602.45","14190.84","13605.97","584.87","4022.15","100","96.15","3.85","100","96.39","3.61","100","95.88","4.12"
78,"20241122","104","縣市","臺中市","15375.97","14654.39","721.58","7479.99","7162.21","317.77","7895.98","7492.17","403.81","2004.43","100","95.31","4.69","100","95.75","4.25","100","94.89","5.11"
79,"20241122","104","縣市","臺南市","3386.62","3131.85","254.77","1393.98","1260.84","133.14","1992.64","1871.01","121.63","441.47","100","92.48","7.52","100","90.45","9.55","100","93.9","6.1"
80,"20241122","104","縣市","高雄市","13654.06","12875.39","778.67","7303.55","6807.94","495.61","6350.51","6067.45","283.06","1780.23","100","94.3","5.7","100","93.21","6.79","100","95.54","4.46"
81,"20241122","104","縣市","宜蘭縣","5700.38","5402.05","298.33","3685.43","3524.46","160.97","2014.95","1877.59","137.35","743.09","100","94.77","5.23","100","95.63","4.37","100","93.18","6.82"
82,"20241122","104","縣市","新竹縣","8522.04","8196.01","326.04","4965.1","4817.96","147.13","3556.95","3378.04","178.9","1111.06","100","96.17","3.83","100","97.04","2.96","100","94.97","5.03"
83,"20241122","104","縣市","苗栗縣","4260.5","4218.26","42.25","2269.69","2241.96","27.73","1990.81","1976.3","14.51","555.19","100","99.01","0.99","100","98.78","1.22","100","99.27","0.73"
84,"20241122","104","縣市","彰化縣","3502.55","3373.28","129.26","1710.03","1678.56","31.46","1792.52","1694.72","97.8","456.42","100","96.31","3.69","100","98.16","1.84","100","94.54","5.46"
85,"20241122","104","縣市","南投縣","12787.89","12279.84","508.05","7529.09","7275.41","253.68","5258.8","5004.43","254.37","1666.86","100","96.03","3.97","100","96.63","3.37","100","95.16","4.84"
86,"20241122","104","縣市","雲林縣","1016.42","927.95","88.47","293.27","272.25","21.02","723.16","655.71","67.45","132.55","100","91.3","8.7","100","92.83","7.17","100","90.67","9.33"
87,"20241122","104","縣市","嘉義縣","2344.16","2287.61","56.55","1113.4","1091.75","21.66","1230.76","1195.87","34.89","305.51","100","97.59","2.41","100","98.05","1.95","100","97.17","2.83"
88,"20241122","104","縣市","屏東縣","25655.57","24646.64","1008.94","14391.98","13858.81","533.17","11263.59","10787.83","475.76","3344.52","100","96.07","3.93","100","96.3","3.7","100","95.78","4.22"
89,"20241122","104","縣市","臺東縣","32078.54","31000.35","1078.19","18901.56","18139.21","762.35","13176.99","12861.15","315.84","4180.56","100","96.64","3.36","100","95.97","4.03","100","97.6","2.4"
90,"20241122","104","縣市","花蓮縣","45908.08","43813.78","2094.3","27045.42","25698.41","1347","18862.66","18115.37","747.29","5985.36","100","95.44","4.56","100","95.02","4.98","100","96.04","3.96"
91,"20241122","104","縣市","澎湖縣","316.28","270.41","45.87","140.71","126.97","13.75","175.57","143.44","32.12","41.27","100","85.5","14.5","100","90.23","9.77","100","81.7","18.3"
92,"20241122","104","縣市","基隆市","4820.52","4671.59","148.93","2879.97","2822.25","57.72","1940.56","1849.34","91.22","628.22","100","96.91","3.09","100","98","2","100","95.3","4.7"
93,"20241122","104","縣市","新竹市","2492.53","2418.18","74.36","1019.29","995.61","23.68","1473.25","1422.57","50.68","324.89","100","97.02","2.98","100","97.68","2.32","100","96.56","3.44"
94,"20241122","104","縣市","嘉義市","864.02","805.53","58.49","419.67","397.99","21.68","444.35","407.54","36.8","112.7","100","93.23","6.77","100","94.83","5.17","100","91.72","8.28"
95,"20241122","105","總計","-","258112","247905","10207","142009","136459","5550","116103","111446","4657","","100","96.05","3.95","100","96.09","3.91","100","95.99","4.01"
96,"20241122","105","行政區域","山地鄉","99494","95513","3981","54739.66","52575.01","2164.65","44754.34","42937.99","1816.35","","100","96","4","100","96.05","3.95","100","95.94","4.06"
97,"20241122","105","行政區域","平地原住民鄉鎮市","97726","94002","3724","53768.19","51743.28","2024.9","43957.81","42258.72","1699.1","","100","96.19","3.81","100","96.23","3.77","100","96.13","3.87"
98,"20241122","105","行政區域","非原住民鄉鎮市","60892","58390","2502","33501.15","32140.7","1360.45","27390.85","26249.3","1141.55","","100","95.89","4.11","100","95.94","4.06","100","95.83","4.17"
99,"20241122","105","統計區域","北部地區","90141","86780","3361","49595.47","47767.94","1827.53","40545.53","39012.06","1533.47","","100","96.27","3.73","100","96.32","3.68","100","96.22","3.78"
100,"20241122","105","統計區域","北部地區_山地鄉","14497","13809","688","7975.24","7601.15","374.1","6521.76","6207.85","313.9","","100","95.25","4.75","100","95.31","4.69","100","95.19","4.81"
101,"20241122","105","統計區域","北部地區_平地原住民鄉鎮市","247","239","8","135.91","131.56","4.35","111.09","107.44","3.65","","100","96.76","3.24","100","96.8","3.2","100","96.71","3.29"
102,"20241122","105","統計區域","北部地區_非原住民鄉鎮市","75397","72732","2665","41484.32","40035.24","1449.08","33912.68","32696.76","1215.92","","100","96.47","3.53","100","96.51","3.49","100","96.41","3.59"
103,"20241122","105","統計區域","中部地區","38505","37020","1486","21185","20377","808","17320.38","16642.39","678","","100","96.14","3.86","100","96.19","3.81","100","96.09","3.91"
104,"20241122","105","統計區域","中部地區_山地鄉","15202","14712","490","8364.39","8097.96","266.43","6837.36","6613.8","223.57","","100","96.78","3.22","100","96.81","3.19","100","96.73","3.27"
105,"20241122","105","統計區域","中部地區_平地原住民鄉鎮市","1490","1459","32","820.48","803.08","17.4","670.5","655.9","14.6","","100","97.92","2.15","100","97.88","2.12","100","97.82","2.18"
106,"20241122","105","統計區域","中部地區_非原住民鄉鎮市","21813","20849","964","12000.13","11475.96","524.17","9812.52","9372.69","439.83","","100","95.58","4.42","100","95.63","4.37","100","95.52","4.48"
107,"20241122","105","統計區域","南部地區","48178","45981","2197","26504.79","25310.18","1194.61","21673.21","20670.82","1002.39","","100","95.44","4.56","100","95.49","4.51","100","95.37","4.63"
108,"20241122","105","統計區域","南部地區_山地鄉","26718","25735","983","14700.3","14165.8","534.5","12017.7","11569.2","448.5","","100","96.32","3.68","100","96.36","3.64","100","96.27","3.73"
109,"20241122","105","統計區域","南部地區_平地原住民鄉鎮市","1178","1148","30","648.23","631.92","16.31","529.77","516.08","13.69","","100","97.45","2.55","100","97.48","2.52","100","97.42","2.58"
110,"20241122","105","統計區域","南部地區_非原住民鄉鎮市","20282","19098","1184","11156.26","10512.47","643.79","9125.74","8585.53","540.21","","100","94.16","5.84","100","94.23","5.77","100","94.08","5.92"
111,"20241122","105","統計區域","東部地區","81288","78125","3163","44723.67","43003.81","1719.86","36564.33","35121.19","1443.14","","100","96.11","3.89","100","96.15","3.85","100","96.05","3.95"
112,"20241122","105","統計區域","東部地區_山地鄉","20204","19276","928","11115.05","10610.45","504.59","9088.95","8665.55","423.41","","100","95.41","4.59","100","95.46","4.54","100","95.34","4.66"
113,"20241122","105","統計區域","東部地區_平地原住民鄉鎮市","60982","58750","2232","33552.5","32338.86","1213.64","27429.5","26411.14","1018.36","","100","96.34","3.66","100","96.38","3.62","100","96.29","3.71"
114,"20241122","105","統計區域","東部地區_非原住民鄉鎮市","102","99","3","56.13","54.49","1.63","45.87","44.51","1.37","","100","97.06","2.94","100","97.09","2.91","100","97.02","2.98"
115,"20241122","105","縣市","新北市","27809","26730","1079","15300.2","14713.5","586.7","12508.8","12016.5","492.3","","100","96.12","3.88","100","96.17","3.83","100","96.06","3.94"
116,"20241122","105","縣市","臺北市","7724","7471","253","4249.97","4112.4","137.57","3474.03","3358.6","115.43","","100","96.72","3.28","100","96.76","3.24","100","96.68","3.32"
117,"20241122","105","縣市","桃園市","32161","30977","1184","17695.04","17051.25","643.79","14465.96","13925.75","540.21","","100","96.32","3.68","100","96.36","3.64","100","96.27","3.73"
118,"20241122","105","縣市","臺中市","16027","15307","720","8817.22","8425.72","391.5","7209.78","6881.28","328.5","","100","95.51","4.49","100","95.56","4.44","100","95.44","4.56"
119,"20241122","105","縣市","臺南市","3530","3276","254","1941.38","1803.27","138.11","1588.62","1472.73","115.89","","100","92.8","7.2","100","92.89","7.11","100","92.71","7.29"
120,"20241122","105","縣市","高雄市","14232","13456","776","7828.78","7406.84","421.95","6403.22","6049.16","354.05","","100","94.55","5.45","100","94.61","5.39","100","94.47","5.53"
121,"20241122","105","縣市","宜蘭縣","5937.92","5640.67","297.25","3266.53","3104.9","161.63","2671.39","2535.77","135.62","","100","94.99","5.01","100","95.05","4.95","100","94.92","5.08"
122,"20241122","105","縣市","新竹縣","8883.3","8558.12","325.18","4887.62","4710.8","176.81","3995.68","3847.31","148.36","","100","96.34","3.66","100","96.38","3.62","100","96.29","3.71"
123,"20241122","105","縣市","苗栗縣","4446.25","4404.36","41.89","2447.15","2424.37","22.78","1999.1","1979.99","19.11","","100","99.06","0.94","100","99.07","0.93","100","99.04","0.96"
124,"20241122","105","縣市","彰化縣","3650.7","3522.03","128.68","2008.66","1938.69","69.97","1642.04","1583.33","58.71","","100","96.48","3.52","100","96.52","3.48","100","96.42","3.58"
125,"20241122","105","縣市","南投縣","13329.28","12822.56","506.72","7333.69","7058.16","275.53","5995.59","5764.4","231.19","","100","96.2","3.8","100","96.24","3.76","100","96.14","3.86"
126,"20241122","105","縣市","雲林縣","1056.78","969","87.78","581.11","533.39","47.73","475.66","435.62","40.05","","100","91.69","8.31","100","91.79","8.21","100","91.58","8.42"
127,"20241122","105","縣市","嘉義縣","2445.94","2389.09","56.86","1345.99","1315.07","30.92","1099.96","1074.02","25.94","","100","97.68","2.32","100","97.7","2.3","100","97.64","2.36"
128,"20241122","105","縣市","屏東縣","26742.41","25735.95","1006.46","14713.58","14166.32","547.26","12028.83","11569.63","459.2","","100","96.24","3.76","100","96.28","3.72","100","96.18","3.82"
129,"20241122","105","縣市","臺東縣","33444.93","32369.64","1075.29","18402.51","17817.83","584.68","15042.42","14551.81","490.6","","100","96.78","3.22","100","96.82","3.18","100","96.74","3.26"
130,"20241122","105","縣市","花蓮縣","47838.52","45749.79","2088.73","26318.65","25182.92","1135.73","21519.87","20566.88","952.99","","100","95.63","4.37","100","95.68","4.32","100","95.57","4.43"
131,"20241122","105","縣市","澎湖縣","327.81","281.93","45.88","180.14","155.19","24.95","147.68","126.74","20.93","","100","86","14","100","86.15","13.85","100","85.82","14.18"
132,"20241122","105","縣市","基隆市","5027.04","4878.42","148.62","2766.13","2685.32","80.81","2260.91","2193.1","67.81","","100","97.04","2.96","100","97.08","2.92","100","97","3"
133,"20241122","105","縣市","新竹市","2598.65","2524.83","73.81","1429.93","1389.79","40.14","1168.72","1135.04","33.68","","100","97.16","2.84","100","97.19","2.81","100","97.12","2.88"
134,"20241122","105","縣市","嘉義市","899.46","841.61","57.85","494.72","463.26","31.46","404.74","378.35","26.4","","100","93.57","6.43","100","93.64","6.36","100","93.48","6.52"
135,"20241122","106","總計","-","259079.87","248676.46","10403.41","138169.39","132297.18","5872.22","120910.48","116379.28","4531.2","30198.64","100","95.98","4.02","100","95.75","4.25","100","96.25","3.75"
136,"20241122","106","行政區域","台灣省","155815.71","149723.04","6092.67","87045.76","83280.24","3765.52","68769.95","66442.8","2327.15","18161.72","100","96.09","3.91","100","95.67","4.33","100","96.62","3.38"
137,"20241122","106","行政區域","山地原住民地區","64749.61","62018.63","2730.97","37881.69","36120.12","1761.57","26867.92","25898.51","969.41","7546.52","100","95.78","4.22","100","95.35","4.65","100","96.39","3.61"
138,"20241122","106","行政區域","平地原住民地區","60946.84","58958.91","1987.93","35716.34","34266.12","1450.22","25230.5","24692.79","537.71","7103.68","100","96.74","3.26","100","95.94","4.06","100","97.87","2.13"
139,"20241122","106","行政區域","非原住民地區","30119.26","28745.5","1373.76","13447.73","12894","553.73","16671.53","15851.5","820.02","3511.52","100","95.44","4.56","100","95.88","4.12","100","95.08","4.92"
140,"20241122","106","行政區域","新北市","27138.07","26097.68","1040.39","13493.12","12927.79","565.33","13644.95","13169.9","475.06","3163.07","100","96.17","3.83","100","95.81","4.19","100","96.52","3.48"
141,"20241122","106","行政區域","臺北市","7804.88","7550.55","254.33","3464.66","3344.36","120.31","4340.21","4206.19","134.02","909.82","100","96.74","3.26","100","96.53","3.47","100","96.91","3.09"
142,"20241122","106","行政區域","桃園市","33899.44","32360.88","1538.57","17789.88","17053.77","736.1","16109.57","15307.1","802.46","3951.84","100","95.46","4.54","100","95.86","4.14","100","95.02","4.98"
143,"20241122","106","行政區域","臺中市","15390.57","14770.51","620.06","7517.02","7232.31","284.72","7873.55","7538.2","335.34","1794.31","100","95.97","4.03","100","96.21","3.79","100","95.74","4.26"
144,"20241122","106","行政區域","臺南市","3372.85","3224.84","148.01","1422.39","1359.93","62.46","1950.46","1864.91","85.55","393.32","100","95.61","4.39","100","95.61","4.39","100","95.61","4.39"
145,"20241122","106","行政區域","高雄市","15658.35","14948.96","709.39","7436.57","7098.79","337.78","8221.79","7850.17","371.61","1824.57","100","95.47","4.53","100","95.46","4.54","100","95.48","4.52"
146,"20241122","106","統計區域","北部地區","91709.88","87924.13","3785.74","47360.57","45456.11","1904.46","44349.31","42468.02","1881.29","10690.31","100","95.87","4.13","100","95.98","4.02","100","95.76","4.24"
147,"20241122","106","統計區域","北部地區_山地原住民地區","13624.99","13210.54","414.44","20204.71","19329.42","875.29","19801.69","18922.88","878.8","1588.07","100","96.96","3.04","100","95.67","4.33","100","95.56","4.44"
148,"20241122","106","統計區域","北部地區_平地原住民地區","208.56","193.93","14.64","25212.66","24074.54","1138.12","24648.45","23608.44","1040.01","24.27","100","92.98","7.02","100","95.49","4.51","100","95.78","4.22"
149,"20241122","106","統計區域","北部地區_非原住民地區","77876.32","74519.66","3356.66","45391.46","43437.1","1954.36","32111.03","31379.94","731.09","9077.96","100","95.69","4.31","100","95.69","4.31","100","97.72","2.28"
150,"20241122","106","統計區域","中部地區","40006.39","38252.3","1754.09","8875.51","8609.85","265.65","4749.48","4600.69","148.79","4663.99","100","95.62","4.38","100","97.01","2.99","100","96.87","3.13"
151,"20241122","106","統計區域","中部地區_山地原住民地區","15999.64","15216.34","783.29","159.61","144.97","14.64","48.96","48.96","0","1864.94","100","95.1","4.9","100","90.83","9.17","100","100","0"
152,"20241122","106","統計區域","中部地區_平地原住民地區","1348.06","1239.21","108.86","38325.45","36701.29","1624.16","39550.87","37818.37","1732.5","157.05","100","91.92","8.08","100","95.76","4.24","100","95.62","4.38"
153,"20241122","106","統計區域","中部地區_非原住民地區","22658.69","21796.76","861.94","9135.12","8606.85","528.26","6864.52","6609.49","255.03","2642","100","96.2","3.8","100","94.22","5.78","100","96.28","3.72"
154,"20241122","106","統計區域","南部地區","49861.11","47682.98","2178.13","820.97","776.59","44.38","527.1","462.61","64.48","5811.13","100","95.63","4.37","100","94.59","5.41","100","87.77","12.23"
155,"20241122","106","統計區域","南部地區_山地原住民地區","26334.17","25291.96","1042.21","10248.62","9945.97","302.65","12410.07","11850.78","559.29","3069.21","100","96.04","3.96","100","97.05","2.95","100","95.49","4.51"
156,"20241122","106","統計區域","南部地區_平地原住民地區","1059.08","1022.05","37.03","14836.3","14249.65","586.64","11497.87","11042.31","455.57","123.33","100","96.5","3.5","100","96.05","3.95","100","96.04","3.96"
157,"20241122","106","統計區域","南部地區_非原住民地區","22467.86","21368.97","1098.89","577.56","554.16","23.41","481.52","467.89","13.63","2618.58","100","95.11","4.89","100","95.95","4.05","100","97.17","2.83"
158,"20241122","106","統計區域","東部地區","77502.5","74817.04","2685.45","9798.8","9270.73","528.07","12669.06","12098.24","570.82","9033.23","100","96.54","3.46","100","94.61","5.39","100","95.49","4.51"
159,"20241122","106","統計區域","東部地區_山地原住民地區","19071.2","18213.15","858.05","11205.95","10619.39","586.56","7865.25","7593.76","271.49","2222.59","100","95.5","4.5","100","94.77","5.23","100","96.55","3.45"
160,"20241122","106","統計區域","東部地區_平地原住民地區","58331.13","56503.72","1827.41","34158.2","32790.4","1367.8","24172.93","23713.32","459.61","6799.03","100","96.87","3.13","100","96","4","100","98.1","1.9"
161,"20241122","106","統計區域","東部地區_非原住民地區","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
162,"20241122","106","縣市","新北市","27138.07","26097.68","1040.39","13493.12","12927.79","565.33","13644.95","13169.9","475.06","3163.07","100","96.17","3.83","100","95.81","4.19","100","96.52","3.48"
163,"20241122","106","縣市","臺北市","7804.88","7550.55","254.33","3464.66","3344.36","120.31","4340.21","4206.19","134.02","909.82","100","96.74","3.26","100","96.53","3.47","100","96.91","3.09"
164,"20241122","106","縣市","桃園市","33899.44","32360.88","1538.57","17789.88","17053.77","736.1","16109.57","15307.1","802.46","3951.84","100","95.46","4.54","100","95.86","4.14","100","95.02","4.98"
165,"20241122","106","縣市","臺中市","15390.57","14770.51","620.06","7517.02","7232.31","284.72","7873.55","7538.2","335.34","1794.31","100","95.97","4.03","100","96.21","3.79","100","95.74","4.26"
166,"20241122","106","縣市","臺南市","3372.85","3224.84","148.01","1422.39","1359.93","62.46","1950.46","1864.91","85.55","393.32","100","95.61","4.39","100","95.61","4.39","100","95.61","4.39"
167,"20241122","106","縣市","高雄市","15658.35","14948.96","709.39","7436.57","7098.79","337.78","8221.79","7850.17","371.61","1824.57","100","95.47","4.53","100","95.46","4.54","100","95.48","4.52"
168,"20241122","106","縣市","宜蘭縣","8064.11","7721.38","342.73","4589.86","4363.23","226.63","3474.25","3358.15","116.1","940.71","100","95.75","4.25","100","95.06","4.94","100","96.66","3.34"
169,"20241122","106","縣市","新竹縣","6153.96","7649.54","197.87","4585.69","4503.37","82.32","3261.72","3146.18","115.54","914.07","127.52","124.3","3.22","100","98.2","1.8","100","96.46","3.54"
170,"20241122","106","縣市","苗栗縣","6525.47","5925.32","600.16","3246.83","2916.53","330.3","3278.65","3008.78","269.86","759.59","100","90.8","9.2","100","89.83","10.17","100","91.77","8.23"
171,"20241122","106","縣市","彰化縣","3251.66","3128.43","123.22","1475.36","1428.03","47.33","1776.3","1700.4","75.9","379.33","100","96.21","3.79","100","96.79","3.21","100","95.73","4.27"
172,"20241122","106","縣市","南投縣","13646.09","13274.11","371.98","7448.66","7253.09","195.57","6197.43","6021.02","176.41","1591.63","100","97.27","2.73","100","97.37","2.63","100","97.15","2.85"
173,"20241122","106","縣市","雲林縣","1192.61","1153.94","38.67","516.84","499.46","17.38","675.77","654.47","21.29","139.13","100","96.76","3.24","100","96.64","3.36","100","96.85","3.15"
